author,shortname,id,url,abstract
Elfar Adalsteinsson,Adalsteinsson_Elfar,arXiv:1903.02959,https://arxiv.org/abs/1903.02959,"b'Abstract:  We present a robust method to correct for motion in volumetric in-utero MRI\ntime series. Time-course analysis for in-utero volumetric MRI time series often\nsuffers from substantial and unpredictable fetal motion. Registration provides\nvoxel correspondences between images and is commonly employed for motion\ncorrection. Current registration methods often fail when aligning images that\nare substantially different from a template (reference image). To achieve\naccurate and robust alignment, we make a Markov assumption on the nature of\nmotion and take advantage of the temporal smoothness in the image data. Forward\nmessage passing in the corresponding hidden Markov model (HMM) yields an\nestimation algorithm that only has to account for relatively small motion\nbetween consecutive frames. We evaluate the utility of the temporal model in\nthe context of in-utero MRI time series alignment by examining the accuracy of\npropagated segmentation label maps. Our results suggest that the proposed model\ncaptures accurately the temporal dynamics of transformations in in-utero MRI\ntime series.'"
Elfar Adalsteinsson,Adalsteinsson_Elfar,arXiv:1608.03907,https://arxiv.org/abs/1608.03907,b'Abstract:  We present a robust method to correct for motion and deformations for\nin-utero volumetric MRI time series. Spatio-temporal analysis of dynamic MRI\nrequires robust alignment across time in the presence of substantial and\nunpredictable motion. We make a Markov assumption on the nature of deformations\nto take advantage of the temporal structure in the image data. Forward message\npassing in the corresponding hidden Markov model (HMM) yields an estimation\nalgorithm that only has to account for relatively small motion between\nconsecutive frames. We demonstrate the utility of the temporal model by showing\nthat its use improves the accuracy of the segmentation propagation through\ntemporal registration. Our results suggest that the proposed model captures\naccurately the temporal dynamics of deformations in in-utero MRI time series.'
Elfar Adalsteinsson,Adalsteinsson_Elfar,arXiv:0907.2083,https://arxiv.org/abs/0907.2083,"b'Abstract:  A linear inverse problem is proposed that requires the determination of\nmultiple unknown signal vectors. Each unknown vector passes through a different\nsystem matrix and the results are added to yield a single observation vector.\nGiven the matrices and lone observation, the objective is to find a\nsimultaneously sparse set of unknown vectors that solves the system. We will\nrefer to this as the multiple-system single-output (MSSO) simultaneous sparsity\nproblem. This manuscript contrasts the MSSO problem with other simultaneous\nsparsity problems and conducts a thorough initial exploration of algorithms\nwith which to solve it. Seven algorithms are formulated that approximately\nsolve this NP-Hard problem. Three greedy techniques are developed (matching\npursuit, orthogonal matching pursuit, and least squares matching pursuit) along\nwith four methods based on a convex relaxation (iteratively reweighted least\nsquares, two forms of iterative shrinkage, and formulation as a second-order\ncone program). The algorithms are evaluated across three experiments: the first\nand second involve sparsity profile recovery in noiseless and noisy scenarios,\nrespectively, while the third deals with magnetic resonance imaging\nradio-frequency excitation pulse design.'"
Akintunde Akinwande,Akinwande_Akintunde,arXiv:1812.07380,https://arxiv.org/abs/1812.07380,"b'Abstract:  We present a Machine Learning-based method for tomographic reconstruction of\ndense layered objects, with range of projection angles limited to $\\pm\n$10$^\\circ$. Whereas previous approaches to phase tomography generally require\ntwo steps, first to retrieve phase projections from intensity projections and\nthen perform tomographic reconstruction on the retrieved phase projections, in\nour work a physics-informed pre-processor followed by a Deep Neural Network\n(DNN) conduct the three-dimensional reconstruction directly from the intensity\nprojections. We demonstrate this single-step method experimentally in the\nvisible optical domain on a scaled up integrated circuit phantom. We show that\neven under conditions of highly attenuated photon fluxes a DNN trained only on\nsynthetic data can be used to successfully reconstruct physical samples\ndisjoint from the synthetic training set. Thus, the need of producing a large\nnumber of physical examples for training is ameliorated. The method is\ngenerally applicable to tomography with electromagnetic or other types of\nradiation at all bands.'"
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1810.01963,https://arxiv.org/abs/1810.01963,"b""Abstract:  Efficiently scheduling data processing jobs on distributed compute clusters\nrequires complex algorithms. Current systems, however, use simple generalized\nheuristics and ignore workload characteristics, since developing and tuning a\nscheduling policy for each workload is infeasible. In this paper, we show that\nmodern machine learning techniques can generate highly-efficient policies\nautomatically. Decima uses reinforcement learning (RL) and neural networks to\nlearn workload-specific scheduling algorithms without any human instruction\nbeyond a high-level objective such as minimizing average job completion time.\nOff-the-shelf RL techniques, however, cannot handle the complexity and scale of\nthe scheduling problem. To build Decima, we had to develop new representations\nfor jobs' dependency graphs, design scalable RL models, and invent RL training\nmethods for dealing with continuous stochastic job arrivals. Our prototype\nintegration with Spark on a 25-node cluster shows that Decima improves the\naverage job completion time over hand-tuned scheduling heuristics by at least\n21%, achieving up to 2x improvement during periods of high cluster load."""
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1809.05088,https://arxiv.org/abs/1809.05088,"b""Abstract:  With the growing usage of Bitcoin and other cryptocurrencies, many\nscalability challenges have emerged. A promising scaling solution, exemplified\nby the Lightning Network, uses a network of bidirectional payment channels that\nallows fast transactions between two parties. However, routing payments on\nthese networks efficiently is non-trivial, since payments require finding paths\nwith sufficient funds, and channels can become unidirectional over time\nblocking further transactions through them. Today's payment channel networks\nexacerbate these problems by attempting to deliver all payments atomically. In\nthis paper, we present the Spider network, a new packet-switched architecture\nfor payment channel networks. Spider splits payments into transaction units and\ntransmits them over time across different paths. Spider uses congestion\ncontrol, payment scheduling, and imbalance-aware routing to optimize delivery\nof payments. Our results show that Spider improves the volume and number of\nsuccessful payments on the network by 10-45% and 5-40% respectively compared to\nstate-of-the-art approaches."""
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1808.00826,https://arxiv.org/abs/1808.00826,"b'Abstract:  Prior research has proposed technical solutions to use peer-to-peer (P2P)\ncontent delivery to serve Internet video, showing that it can reduce costs to\ncontent providers. Yet, such methods have not become widespread except for a\nfew niche instances. An important challenge is incentivization: what tangible\nbenefits does P2P content delivery offer users who bring resources to the\ntable? In this paper, we ask whether monetary incentives can help attract peers\nin P2P content delivery systems. We commissioned a professional survey of\npeople around theUnited States to answer several relevant questions. We found\nthat 51% of the 876 respondents--substantially larger than our\nexpectations--answered ""yes"" to whether they would participate for suitable\nfinancial incentives. Encouraged by the results of the survey, we propose\nGringotts, a system to structure incentives and securely incorporate P2P\ndelivery into content delivery systems. Gringotts provides a novel Proof of\nDelivery mechanism that allows content providers to verify correct delivery of\ntheir files, and shows how to use cryptocurrency to pay peers while guarding\nagainst liars and Sybil attacks.'"
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1807.02264,https://arxiv.org/abs/1807.02264,"b'Abstract:  We consider reinforcement learning in input-driven environments, where an\nexogenous, stochastic input process affects the dynamics of the system. Input\nprocesses arise in many applications, including queuing systems, robotics\ncontrol with disturbances, and object tracking. Since the state dynamics and\nrewards depend on the input process, the state alone provides limited\ninformation for the expected future returns. Therefore, policy gradient methods\nwith standard state-dependent baselines suffer high variance during training.\nWe derive a bias-free, input-dependent baseline to reduce this variance, and\nanalytically show its benefits over state-dependent baselines. We then propose\na meta-learning approach to overcome the complexity of learning a baseline that\ndepends on a long sequence of inputs. Our experimental results show that across\nenvironments from queuing systems, computer networks, and MuJoCo robotic\nlocomotion, input-dependent baselines consistently improve training stability\nand result in better eventual policies.'"
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1803.09615,https://arxiv.org/abs/1803.09615,"b""Abstract:  Homa is a new transport protocol for datacenter networks. It provides\nexceptionally low latency, especially for workloads with a high volume of very\nshort messages, and it also supports large messages and high network\nutilization. Homa uses in-network priority queues to ensure low latency for\nshort messages; priority allocation is managed dynamically by each receiver and\nintegrated with a receiver-driven flow control mechanism. Homa also uses\ncontrolled overcommitment of receiver downlinks to ensure efficient bandwidth\nutilization at high load. Our implementation of Homa delivers 99th percentile\nround-trip times less than 15{\\mu}s for short messages on a 10 Gbps network\nrunning at 80% load. These latencies are almost 100x lower than the best\npublished measurements of an implementation. In simulations, Homa's latency is\nroughly equal to pFabric and significantly better than pHost, PIAS, and NDP for\nalmost all message sizes and workloads. Homa can also sustain higher network\nloads than pFabric, pHost, or PIAS."""
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1802.08730,https://arxiv.org/abs/1802.08730,"b'Abstract:  This paper develops a technique to detect whether the cross traffic competing\nwith a flow is elastic or not, and shows how to use the elasticity detector to\nimprove congestion control. If the cross traffic is elastic, i.e., made up of\nflows like Cubic or NewReno that increase their rate when they perceive\navailable bandwidth, then one should use a scheme that competes well with such\ntraffic. Such a scheme will not be able to control delays because the cross\ntraffic will not cooperate to maintain low delays. If, however, cross traffic\nis inelastic, then one can use a suitable delay-controlled algorithm. Our\nelasticity detector uses an asymmetric sinusoidal pulse pattern and estimates\nelasticity by computing the frequency response (FFT) of the cross traffic\nestimate; we have measured its accuracy to be over 90%. We present the design\nand evaluation of Nimbus, a congestion control protocol that uses the\nelasticity detector to switch between delay-control and TCP-competitive modes.\nOur results on emulated and real-world paths show that Nimbus achieves\nthroughput comparable to or better than Cubic always, but with delays that are\nmuch lower when cross traffic is inelastic. Unlike BBR, Nimbus is fair to\nCubic, and has significantly lower delay by 40-50 ms. Compared to Copa, which\nalso switches between a delay-controlling and a TCP-competitive mode, Nimbus is\nmore robust at correctly detecting the nature of cross traffic, and unlike\nCopa, it is usable by a variety of delay-based and TCP-competitive methods.'"
